brand,product_name,ingredients_text,source_url,source_type,date_retrieved
"L'Oreal Paris","L'Oreal Paris Revitalift Crystal Micro-Essence","Aqua/Water, Butylene Glycol, Alcohol, Hydroxyethylpiperazine Ethane Sulfonic Acid, Propanediol, PPG-6-Decyltetradeceth-30, Caprylyl Glycol, Salicylic Acid, Sodium Hydroxide, P-Anisic Acid, Adenosine, Capryloyl Salicylic Acid, Acetyl Trifluoromethylphenyl Valylglycine, Disodium EDTA, Parfum/Fragrance, Madecassoside, Benzyl Salicylate, Limonene, Linalool, Benzyl Alcohol, Pentylene Glycol, Faex Extract/Yeast Extract, Tocopherol","https://www.nykaa.com/l-oreal-paris-revitalift-crystal-micro-essence/p/699313","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris Revitalift Serum, 1.5% Hyaluronic Acid","Aqua/Water, Glycerin, Hydroxyethylpiperazine Ethane Sulfonic Acid, Sodium Hyaluronate, PEG-60 Hydrogenated Castor Oil, Secale Cereale Seed Extract/Rye Seed Extract, Calcium Pantothenate, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Ascorbyl Glucoside, Disodium EDTA, Pentylene Glycol, Phenoxyethanol, Chlorphenesin","https://www.nykaa.com/l-oreal-paris-revitalift-1-5-hyaluronic-acid-serum/p/1112060","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris Glycolic Bright 8% [Melasyl + Niacinamide] Face Serum","Aqua/Water, Caprylyl Methicone, Niacinamide, Alcohol Denat., Butylene Glycol, Glycerin, Hydroxyethylpiperazine Ethane Sulfonic Acid, Caffeine, Potassium Hydroxide, Linalool, Glycolic Acid, 2-Mercaptonicotinoyl Glycine, Sodium Thiosulfate, Sodium Hyaluronate, Phenoxyethanol, Ammonium Acryloyldimethyltaurate/VP Copolymer, Chlorphenesin, Tocopheryl Acetate, Poloxamer 338, Limonene, Tocopherol, Hydroxyacetophenone, Capryloyl Salicylic Acid, Citronellol, Trisodium Ethylenediamine Disuccinate, Biosaccharide Gum-1, Xanthan Gum, Menthoxypropanediol, Benzyl Alcohol, Benzyl Salicylate, PEG-12 Dimethicone/PPG-20 Crosspolymer, CI 17200/Red 33, CI 42090/Blue 1, Parfum/Fragrance","https://www.nykaa.com/l-oreal-paris-glycolic-bright-skin-brightening-serum/p/7010178","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris UV Defender Serum Protector Sunscreen SPF 50+ PA++++, Bright & Clear","Aqua, Water, Ethylhexyl Methoxycinnamate, Titanium Dioxide, Squalane, Glycerin, Drometrizole Trisiloxane, Terephthalylidene Dicamphor Sulfonic Acid, Propylene Glycol, Alcohol Denat., Triethanolamine, Dipropylene Glycol, Mica, Stearic Acid, Potassium Cetyl Phosphate, Tocopherol, Nylon-12, CI 77891, Titanium Dioxide, Niacinamide, Sodium Cocoyl Sarcosinate, Sodium Chloride, Phenoxyethanol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Paeonia Suffruticosa Root Extract, Thermus Thermophillus Ferment, PEG-100 Stearate, Ethylhexyl Triazone, Trisodium Ethylenediamine Disuccinate, Palmitic Acid, Polysorbate 80, Limonene, Xanthan Gum, Linalool, Tromethamine, Isohexadecane, Caprylyl Glycol, Alpha-Isomethyl Ionone, Barium Sulfate, Carbomer, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Myristic Acid, Sorbitan Oleate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Cetyl Alcohol, Butylene Glycol, BHT, Butyrospermum Parkii Seed Cake Extract, Shea Seedcake Extract, Potassium Sorbate, Aluminum Hydroxide, Hexyl Cinnamal, Glyceryl Stearate, Parfum, Fragrance","https://www.nykaa.com/l-oreal-paris-uv-defender-serum-protector-sunscreen-spf-50/p/5093166","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris Revitalift Hyaluronic Acid Line Filling Water Cream","Aqua, Glycerin, Dimethicone, Isohexadecane, Hydroxyethylpiperazine Ethane Sulfonic Acid, Silica, Dipropylene Glycol, Synthetic Wax, PEG-10 Dimethicone, Dimethicone/PEG 10/15 Crosspolymer, Sodium Acrylates Copolymer, Caprylic/Capric Triglyceride, Dimethicone/Polyglycerin-3 Crosspolymer, Disteardimonium Hectorite, Sodium Hyaluronate, Phenoxyethanol, Nylon-12, Pentylene Glycol, Caprylyl Glycol, Secale Cereale Seed Extract, Methylparaben, Disodium EDTA, Dipotassium Glycyrrhizate, PEG-30 Dipolyhydroxystearate, Adenosine, Sorbitan Oleate, Benzyl Salicylate, Benzyl Alcohol, Sodium Citrate, Linalool, Benzyl Benzoate, Stearyl Alcohol, Ceteareth-3, Citronellol, Tocopherol, Fragrance","https://www.nykaa.com/l-oreal-paris-revitalift-hyaluronic-acid-plumping-day-cream/p/1378036","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris Glycolic Bright Matte Luminizing Cream, Instant Glow Booster","Aqua/Water, Glycerin, Niacinamide, Alcohol Denat., Isononyl Isononanoate, Sodium Carbomer, Mica, Linalool, Glycolic Acid, Mercaptonicotinoyl Glycine, Salicylic Acid, Sodium Hydroxide, Silica Silylate, Sodium Thiosulfate, Silica, Chlorphenesin, Limonene, Caprylyl Glycol, Citronellol, Trisodium Ethylenediamine Disuccinate, Synthetic Fluorphlogopite, Disteardimonium Hectorite, Xanthan Gum, Polyglyceryl-2 Isostearate, Benzyl Alcohol, Benzyl Salicylate, CI 16035/Red 40, CI 14700/Red 4, CI 77891/Titanium Dioxide, Parfum/Fragrance","https://www.nykaa.com/l-oreal-paris-glycolic-bright-matte-luminizing-cream-instant-glow-booster-fades-dark-spots/p/24854010","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris Revitalift Hyaluronic Acid Oil Control Replumping Cleansing Gel","Aqua/Water, Sodium Laureth Sulfate, Glycerin, Decyl Glucoside, Coco-Betaine, Salicylic Acid, Sodium Chloride, Zinc Gluconate, PEG-150 Pentaerythrityl Tetrastearate, PPG-5-Ceteth-20, Sodium Hyaluronate, Sodium Hydroxide, Capryloyl Salicylic Acid, Tetrasodium Glutamate Diacetate, Citric Acid, Linalool, Geraniol, Alpha-Isomethyl Ionone, Limonene, Benzyl Alcohol, Parfum/Fragrance","https://www.nykaa.com/l-oreal-paris-revitalift-hyaluronic-acid-oil-control-replumping-cleansing-gel/p/20917229","retailer_listing","2026-09-05"
"L'Oreal Paris","L'Oreal Paris Glycolic Bright Dark Circle Eye Serum, 3% Glycolic + Niacinamide + Vitamin C","Aqua/Water, Niacinamide, Glycerin, PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin, Butylene Glycol, Ascorbyl Glucoside, Methyl Gluceth-20, Carbomer, Glycolic Acid, Triethanolamine, Sodium Hyaluronate, Phenoxyethanol, Caprylyl Glycol, Citrus Limon Fruit Extract, Lemon Fruit Extract, Biosaccharide Gum-1, Polysorbate 20","https://www.nykaa.com/l-oreal-paris-glycolic-bright-dark-circle-eye-serum-with-3percent-glycolic-niacinamide-vitamin-cg/p/12966172","retailer_listing","2026-09-05"
"Pond's","Pond's Sun Miracle SPF 50 PA+++ Creme Gel Sunscreen - Protect & Hydrate, with Hyaluronic Acid","Water, Ethylhexyl Salicylate, Cyclohexasiloxane, Cyclopentasiloxane, Niacinamide, Glycerin, Butyl Methoxydibenzoylmethane, Octocrylene, Phenylbenzimidazole Sulfonic Acid, Silica, Glycol Stearate, Palmitic Acid, Stearic Acid, PEG-100 Stearate, Titanium Dioxide, Aluminium Hydroxide, Stearic Acid, Pyridoxine HCl, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Cystine, Glycine, Hydroxystearic Acid, Sodium PCA, Carbomer, Potassium Hydroxide, Acrylates Crosspolymer, Dimethicone and Dimethiconol, Phenoxyethanol, Glyceryl Stearate, Cetyl Alcohol, Fragrance, Sodium Hydroxide, Methylparaben, Propylparaben, Disodium EDTA, BHT, Stearamide AMP, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Benzoate, Citronellol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Linalool","https://www.nykaa.com/ponds-sun-miracle-spf-50-pa-hyaluronic-creme-gel-sunscreen/p/14319373","retailer_listing","2026-09-05"
"Pond's","Pond's Biome Miracle Freeze Recovery Moisturizer Gel","Water, Caprylyl Methicone (and) PEG-12 Dimethicone/PPG-20 Crosspolymer, Glycerin, Niacinamide, Propylene Glycol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Dimethicone, Sodium Carbomer, Phenoxyethanol, Triethanolamine, Acrylates Crosspolymer, Menthyl Lactate, Methoxy PEG-18, Ammonium Acryloyldimethyltaurate/VP Copolymer, Allantoin, Menthone Glycerin Acetal, Ethylhexylglycerin, Disodium EDTA, Hydroxyethyl Urea, PEG-4 Dilaurate, PEG-4 Laurate, Hydrated Silica, Iodopropynyl Butylcarbamate, PEG-4, Lysine Carboxymethyl Cysteinate, Perfume, Tocopherol","https://www.nykaa.com/ponds-biome-miracle-freeze-recovery-gel/p/27461564","retailer_listing","2026-09-05"
