inci_name,active_family,cosing_function,cas_number,common_synonyms,brief_description,source_url
Adapalene (drug, not a cosmetic ingredient),Retinoids,"N/A - regulated as a drug/OTC monograph actives, not a CosIng cosmetic ingredient",106685-40-9,"Differin, Third-generation synthetic retinoid; prescription/OTC-drug status (not CosIng-listed) because it is regulated as a therapeutic drug in the EU and US,  not a cosmetic. Included here as a labeling note only.",https://pubchem.ncbi.nlm.nih.gov/compound/60164
Glycolic Acid,AHAs,Skin conditioning - exfoliant (reported),79-14-1,Hydroxyacetic Acid,"Smallest-molecule AHA,  derived from sugarcane; penetrates deepest for strong resurfacing,  brightening,  and collagen stimulation but carries the highest irritation risk of the AHAs.",https://pubchem.ncbi.nlm.nih.gov/compound/1183
Lactic Acid,AHAs,Skin conditioning - humectant; exfoliant (reported),50-21-5,2-Hydroxypropanoic Acid,"Milder AHA (from milk/fermentation) that exfoliates gently while also acting as a humectant,  improving barrier hydration alongside resurfacing.",https://pubchem.ncbi.nlm.nih.gov/compound/612
Mandelic Acid,AHAs,Skin conditioning - exfoliant (reported),90-64-2,Amygdalic Acid; Phenylglycolic Acid,"Larger-molecule AHA from bitter almonds; slower,  more even exfoliation with added antibacterial/anti-inflammatory action,  well tolerated by sensitive and acne-prone skin.",https://pubchem.ncbi.nlm.nih.gov/compound/1292
Citric Acid,AHAs / pH Adjusters,Buffering; Chelating; pH adjusting,77-92-9,"2-Hydroxypropane-1,2,3-tricarboxylic Acid",Common pH adjuster and chelator; can also function as an AHA depending on formula and concentration.,https://pubchem.ncbi.nlm.nih.gov/compound/311
Kaolin,Absorbents / Clays,Absorbent; Bulking; Opacifying,1332-58-7,China Clay,Clay mineral used in masks and cleansers for absorbency and texture.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Sulfur,Acne Actives,OTC acne drug active; Skin protectant contexts,7704-34-9,Elemental Sulfur,OTC acne active in the U.S. at specified concentrations; also appears in cosmetic-type formulations.,https://www.fda.gov/files/drugs/published/Topical-Acne-Drug-Products-for-Over-the-Counter-Human-Use--Revision-of-Labeling-and-Classification-of-Benzoyl-Peroxide-as-Safe-and-Effective.pdf
Alpha-Arbutin,Alpha Arbutin,Skin conditioning (reported; tyrosinase inhibitor not itemized separately in CosIng search),84380-01-8,4-Hydroxyphenyl alpha-D-glucopyranoside,"Synthetic,  more stable isomer of arbutin; inhibits tyrosinase to reduce melanin production,  used for hyperpigmentation and skin brightening with lower irritation than hydroquinone.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8944748/
Ferulic Acid,Antioxidants,Antioxidant; Skin conditioning,1135-24-6,4-Hydroxy-3-methoxycinnamic Acid,Plant-derived antioxidant frequently combined with vitamin C and vitamin E in antioxidant serums.,https://pubchem.ncbi.nlm.nih.gov/compound/445858
Resveratrol,Antioxidants,Antioxidant; Skin conditioning,501-36-0,Trans-Resveratrol,Polyphenol used in topical antioxidant formulations.,https://pubchem.ncbi.nlm.nih.gov/compound/445154
BHT,Antioxidants / Stabilizers,Antioxidant,128-37-0,Butylated Hydroxytoluene,Antioxidant used mainly to slow oxidation of oils and other formula components.,https://pubchem.ncbi.nlm.nih.gov/compound/31404
Arbutin,Arbutin,Skin conditioning,497-76-7,Beta-Arbutin; Hydroquinone beta-D-glucopyranoside,Arbutin is a hydroquinone glucoside used in brightening formulations; regulatory assessment differs from alpha-arbutin.,https://health.ec.europa.eu/publications/safety-alpha-arbutin-and-beta-arbutin-cosmetic-products_en
Azelaic Acid,Azelaic Acid,Skin conditioning; Antimicrobial (reported),123-99-9,Nonanedioic Acid,"Naturally derived dicarboxylic acid with antimicrobial,  anti-inflammatory,  and tyrosinase-inhibiting action; used for acne,  rosacea redness,  and post-inflammatory hyperpigmentation.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12472904/
Dipotassium Glycyrrhizate,Barrier / Soothing,Skin conditioning; Soothing,68797-35-3,Licorice salt,Licorice-derived salt used in calming and skin-conditioning formulas.,https://pubchem.ncbi.nlm.nih.gov/compound/656852
Cholesterol,Barrier Lipids,Skin conditioning; Emollient,57-88-5,Cholest-5-en-3β-ol,Skin-identical lipid frequently combined with ceramides and fatty acids in barrier formulas.,https://pubchem.ncbi.nlm.nih.gov/compound/5997
Phytosphingosine,Barrier Lipids,Skin conditioning,554-62-1,Sphingoid Base,Skin-lipid-related ingredient commonly paired with ceramides in barrier formulations.,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en
Benzoyl Peroxide,Benzoyl Peroxide,Antimicrobial (drug-classified acne treatment; not a core CosIng cosmetic function),94-36-0,BPO,Topical antiseptic that releases free radicals to kill acne-causing bacteria (C. acnes) and has mild keratolytic/sebostatic effects; in the EU it is regulated closer to a drug actives than a standard cosmetic ingredient.,https://foundationskincare.com/blogs/articles/azelaic-acid-vs-benzoyl-peroxide-for-acne
N-Acetyl Glucosamine,Brightening / Humectants,Skin conditioning; Humectant,7512-17-6,NAG; Acetyl Glucosamine,"Amino-sugar derivative used in hydrating and tone-evening skincare, often paired with niacinamide.",https://pubchem.ncbi.nlm.nih.gov/compound/439174
