inci_name,pubchem_cid,ghs_classification,topical_use_note,irritant_or_sensitizer_flag,source_url
Ascorbic Acid,54670067,"[GHS Classification] This chemical does not meet GHS hazard criteria for 97.3% (572 of 588) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 572 of 588 companies (only 2.7% companies provided GHS information). For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 588 reports by companies from 8 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard cr","[Cosmetics] Cosmetic ingredients (L-Ascorbic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Cosmetic ingredients (Ascorbic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Buffering; Antioxidant | [Pharmacodynamics] Ascorbic Acid (vitamin C) is a water-soluble vitamin indicated for the prevention and treatment of scurvy, as ascorbic acid deficiency results in scurvy. Collagenous st",no,https://pubchem.ncbi.nlm.nih.gov/compound/54670067
Ascorbyl Glucoside,54693473,"[GHS Classification] This chemical does not meet GHS hazard criteria for 100% (63 of 63) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 63 of 63 companies. For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 63 reports by companies from 1 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard criteria per 63 of 63 reports by companies.; There are ",[Cosmetics] Cosmetic ingredients (Ascorbyl Glucoside) -> CIR (Cosmetic Ingredient Review) | [Uses] CIR ingredient: Ascorbyl Glucoside | [Household Products] Information on 6 consumer products that contain Ascorbyl Glucoside in the following categories is provided:; • Personal Care,no,https://pubchem.ncbi.nlm.nih.gov/compound/54693473
Sodium Ascorbyl Phosphate,10990876,"[GHS Classification] This chemical does not meet GHS hazard criteria for 100% (116 of 116) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 116 of 116 companies. For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 116 reports by companies from 1 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard criteria per 116 of 116 reports by companies.; The",[Cosmetics] Cosmetic ingredients (Sodium Ascorbyl Phosphate) -> CIR (Cosmetic Ingredient Review) | [MeSH Pharmacological Classification] Substances that inhibit or prevent the proliferation of NEOPLASMS. | [Uses] CIR ingredient: Sodium Ascorbyl Phosphate | [Household Products] Information on 29 consumer products that contain Sodium ascorbyl phosphate in the following categories is provided:; • Per,no,https://pubchem.ncbi.nlm.nih.gov/compound/10990876
Magnesium Ascorbyl Phosphate,71587428,"[GHS Classification] This chemical does not meet GHS hazard criteria for 100% (108 of 108) of all reports. | [GHS Classification] Not Classified; Reported as not meeting GHS hazard criteria by 108 of 108 companies. For more detailed information, please visit  ECHA C&L website. | [GHS Classification] Aggregated GHS information provided per 108 reports by companies from 1 notifications to the ECHA C&L Inventory.; Reported as not meeting GHS hazard criteria per 108 of 108 reports by companies.; The",[Cosmetics] Cosmetic ingredients (Magnesium Ascorbyl Phosphate) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Antioxidant | [Uses] CIR ingredient: Magnesium Ascorbyl Phosphate | [Use Classification] Cosmetics -> Antioxidant | [Household Products] Information on 1 consumer products that contain Magnesium ascorbyl phosphate in the following categories is provided:; • Personal Care | [Household P,no,https://pubchem.ncbi.nlm.nih.gov/compound/71587428
Retinol,445354,"[GHS Classification] This chemical does not meet GHS hazard criteria for 0.3% (1  of 311) of reports. | [GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H302 (15.8%): Harmful if swallowed [Warning Acute toxicity, oral]; H317 (74.9%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (75.6%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H360 (88.1%): May damage fertility or the unborn child [Danger Reproductiv","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Retinol) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Skin conditioning | [Pharmacodynamics] Vitamin A is effective for the treatment of Vitamin A deficiency. Vitamin A refers to a group of fat-soluble substances that are structurally related to and possess the biological activity of the parent substance of the group called all-<i>trans</i> retinol or retinol",yes,https://pubchem.ncbi.nlm.nih.gov/compound/445354
Retinyl Palmitate,5280531,[GHS Classification] This chemical does not meet GHS hazard criteria for 8.4% (54  of 643) of reports. | [GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H315 (19%): Causes skin irritation [Warning Skin corrosion/irritation]; H360 (79.5%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H361 (12%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H413 (66.3%): May cause long lasting harmful effects t,"NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Retinyl Palmitate) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Skin conditioning | [MeSH Pharmacological Classification] Naturally occurring or synthetic substances that inhibit or retard oxidation reactions. They counteract the damaging effects of oxidation in animal tissues. | [MeSH Pharmacological Classification] Agents that reduce the frequency or rate o",yes,https://pubchem.ncbi.nlm.nih.gov/compound/5280531
Retinaldehyde,638015,"[GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H302 (28.6%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (29.3%): Causes skin irritation [Warning Skin corrosion/irritation]; H360 (72.1%): May damage fertility or the unborn child [Danger Reproductive toxicity]; H413 (72.1%): May cause long lasting harmful effects to aquatic life [Hazardous to the aquatic environment, long-term hazard] | [GHS Classification] P203, P264, P270, P273, P280, P301+P31","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Personal care product | [Metabolism/Metabolites] Retinal has known human metabolites that include Tretinoin.; Retinal is a known human metabolite of retinol. | [Tissue Locations] Adrenal Cortex; Epidermis; Fibroblasts; Intestine; Kidney; Lung; Neuron; Pancreas; Placenta; Platelet; Skeletal Muscle; Spleen; Testis | [Cellular Locations] Cytoplasm; Extracellular; Membrane | [Metabolite Pa",yes,https://pubchem.ncbi.nlm.nih.gov/compound/638015
"Adapalene (drug, not a cosmetic ingredient)",60164,"[GHS Classification] This chemical does not meet GHS hazard criteria for 9.1% (1  of 11) of reports. | [GHS Classification]            | [GHS Classification] Warning | [GHS Classification] H302 (18.2%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (72.7%): Causes skin irritation [Warning Skin corrosion/irritation]; H317 (54.5%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (72.7%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; ","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Pharmacodynamics] Adapalene is anticomedogenic, preventing the formation of new comedones and inflammatory lesions, and also acts to reduce inflammation by modulating the innate immune response. Like other retinoid compounds, adapalene is chemically stable but photosensitive; use with sunscreen is recommended. Minor skin irritations, including erythema, scaling, dryness, and stinging/burning, hav",yes,https://pubchem.ncbi.nlm.nih.gov/compound/60164
Niacinamide,936,"[GHS Classification] This chemical does not meet GHS hazard criteria for 0.3% (3  of 1154) of reports. | [GHS Classification]            | [GHS Classification] Warning | [GHS Classification] H315 (28.6%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (99.6%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (28.4%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation] | [GHS Clas","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Niacinamide) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Smoothing | [Cosmetics] Personal care product -> emollient -> amide | [MeSH Pharmacological Classification] A group of water-soluble vitamins, some of which are COENZYMES. | [ATC Code] A11HA01 | [ATC Code] A - Alimentary tract and metabolism; A11 - Vitamins; A11H - Other plain vitamin preparations; A11",yes,https://pubchem.ncbi.nlm.nih.gov/compound/936
Salicylic Acid,338,"[GHS Classification]            | [GHS Classification] Danger | [GHS Classification] H302: Harmful if swallowed [Warning Acute toxicity, oral]; H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]; H361d: Suspected of damaging the unborn child [Warning Reproductive toxicity] | [GHS Classification] P203, P264, P264+P265, P270, P280, P301+P317, P305+P354+P338, P317, P318, P330, P405, and P501 (click each P-code to see the statement) | [GHS Classification] This chemical does n","NOTE: PubChem GHS hazard statements (e.g. skin/eye irritation, sensitization) describe the pure/concentrated industrial chemical as handled in bulk manufacturing, not a diluted cosmetic formulation (typically <10%, often 0.1-2% for actives like this). Do not use this as evidence that a normal-strength skincare product is unsafe. | [Cosmetics] Cosmetic ingredients (Salicylic Acid) -> CIR (Cosmetic Ingredient Review) | [Cosmetics] Preservative; Keratolytic | [Pharmacodynamics] Salicylic acid treats acne by causing skin cells to slough off more readily, preventing pores from clogging up. This effect on skin cells also makes salicylic acid an active ingredient in several shampoos meant to treat dandruff. Use of straight salicyl",yes,https://pubchem.ncbi.nlm.nih.gov/compound/338
